,Username,No. of Followers,Likes on post1,Likes on post 2,Likes on post 3,Likes on post 4,Likes on post 5,Likes on post 6,Likes on post 7,Likes on post 8,Likes on post 9,Likes on post 10,Caption on post 1,Caption on post 2,Caption on post 3,Caption on post 4,Caption on post 5,Caption on post 6,Caption on post 7,Caption on post 8,Caption on post 9,Caption on post 10,Number of post in last 3 days,Avg likes(10 posts),Avg. Likes to Followers Ratio
0,gaming,815078,3667,5010,12268,11920,17302,9961,13219,27559,23819,20094,"Tag your duo ğŸ˜‚
(Via: @lunlyalex)","This was insane ğŸ’€
(Via: @thoelian)","Best video game ever? ğŸ«¡
(Via: @ryezyyy)","Tag your partner ğŸ˜‚
(Via: @hippytori)","Tag the boys ğŸ˜
(Via tik tok: lilnate618)","What we choosing ğŸ«¡
(Via: @forzahorizon5_xpert_)","Gg ez ğŸ«¡
(Via: @grimkami)","The gameplay, what we thinking ğŸ¤”
(Via: @spectrexgaming)","Im dead ğŸ˜‚
(Via tik tok: imautho)","I be surprised ğŸ˜‚
(Via tik tok: adamlovescallofduty)",10,14482.0,0.017767624693587607
1,totalgaming_official,3365371,93883,795667,205418,139975,110386,181167,243505,93815,95420,82959,,,"I am extremely happy and overwhelmed at the same time to share that we have created a community of 34 Million subscribers on Total Gaming YouTube Channel â¤ï¸
It has been a rollercoaster ride and I would like to thank each one of you for being the part of my journey, for supporting me and giving me motivation to keep going ğŸš€âœ¨

It still seems like a dream to me â¤ï¸

Thank you!!","Hi, I'm Ajay.âœŒï¸",Spotify âœŒï¸,Bad me kya huva Game me tum logo ko pata hoga. #freefire #totalgaming,"Garbaâ¤ï¸

Navratri ğŸ˜

#totalgaming #navratri",God Of War 4 First Fight ğŸ”¥,Hum log ne Facebook pe bhi Top 1 Kar diya.. Thank You bhailog. #tgarmy,"Tu samjha, Nahi Tu Samjha Nahi.",0,204220.0,0.060682759790822466
2,gaming_foodie,1175582,41714,38987,38877,32055,35578,29437,44302,42595,98203,31830,"CHA GIO | egg rolls with jicama

â—ï¸NOTE: IF YOU ARE AIRFRYING
Brush/ spray oil over eggrolls then airfry at 375 for 10-15 minutes then flip and air fry 350 for another 10

INGREDIENTS
1 lb ground pork
1 lb shrimp, roughly chopped
1/2 a large onion, chopped (or 1 small)
1 cup jicama
1 cup woodear mushrooms
1 yarn/ ball of bean thread noodle
1 tsp salt
1 tsp chicken bouillon
1 tsp sugar
1 tsp black pepper
1 egg

EGG ROLL GLUE
1/4 cup water
1 TBSP APF
- mix this together

ADDITIONAL INGREDIENTS
Eggroll wrapper

1. Prep all of your ingredients: finely diced jicama, finely chop onion, chop/ mince shrimp, rehydrate bean thread noodle and woodear mushrooms. To rehydrate, add hot water to bean thread and wood ear mushrooms, allow to sit for 10-15 mins, strain it of the liquid them chop into smaller pieces. I like to use scissors.

2. Next, combine all of your ingredients: ground pork, chopped shrimp, onions, jicama, bean thread noodle, woodear mushrooms, salt, chicken bouillon, sugar, black pepper, and 1 egg. Combine well.

3. Make sure everything else is prepared before you start rolling: separate the sheets and leave them alternating and make your egg roll wrapper by mixing together 1/4 cup water + 1 TBSP all purpose flour.

4. Once your filling is made, sheets are separated, and egg roll glue is made, you can start to roll.

5. Pls watch my video to see how I roll it.

6. Once everything is rolled, deep fry until egg rolls are golden and they float to the the top. I fried mine for 7 mins on medium heat, 5 rolls at a time.

7. I like to eat my egg rolls as a lettuce wrap dipped in fish sauce.",What CANâ€™T moms do??? ğŸ˜ğŸ˜,"FOOL PROOF FISH SAUCE DIP (NUOC MAM)
4-5 cloves minced garlic
12 oz can coco rico (coconut soda or water)
1/4 cup sugar
1/4 fish sauce
2 TBSP vinegar
1 TBSP garlic chili paste/ sambal
Chopped Thai chili- optional.
- mix this up until sugar dissolves","BANH CUON NHAN THIT â€” Vietnamese steamed rice rolls with meat filling

FILLING
1 lb ground meat of choiceâ€” pork, chicken or turkey preferred
1.5-2 cups jicama, diced
1.5 cups woodear mushrooms (dried)
2 shallots, minced
2 tsp chicken bouillon
1 tsp salt
1 tsp black pepper
1/2 an onion, diced
Fish sauce to taste
Oil, for cooking

FOR ROLLING
Rice paper
Water
Oil

FOR SERVING
Bean sprouts, blanched/ steamed (raw is okay)
Mint
Fried shallots â€” optional but high recommended
Cucumber
Cha lua (Vietnamese ham)

1. Soak dried wood ear mushroom in hot water for 10-15 minute. After 10-15 mins, drain mushrooms and chop/ cut into smaller pieces. I used scissors.

2. Mix together: ground meat, minced shallot, chicken bouillon, salt and black pepper

3. Heat up some oil. Once oil is hot, add onions and cook til translucent.

4. Next add your ground meat and cook until almost done (takes about 5 mins).

5. Then add your drained, chopped woodear mushrooms, and diced jicama. Cook this for 2 mins. Then season with fish sauce, mix well and turn off heat.

6. Your filling is now done. Onto rolling.

7. Dunk rice paper into a bowl of water for 30-60 seconds. Let it sit in water. Your rice paper will sink to the bottom.

8. Then carefully remove the rice paper out of water, lay it open, add lay filling in the middle of your rice paper, and fold it closed- please watch the video on how to do this.

9. Once rolled up, set your roll onto a greased/ oiled plate, grease your roll. Then steam for 60 seconds.

10. Once you have several rolls steamed, top it off with your preferred topping and serve with fish sauce dip (nuoc cham). Fried shallots is highly recommended with dish.","CHAO GA | Vietnamese rice porridge with chicken

3 lbs chicken
6 scallion
1 onion
5-6 ginger slices
11 cups water
1 cup uncooked, washed rice
Diced Carrots- optional

FOR SERVING:
chopped cilantro
Chopped scallion
Fried shallots
Beans sprouts
Garlic chili paste
Lime

1. In a large pot, add your chicken, onion, ginger slices, scallion and water. Bring this to a boil. Once boiling, reduce heat and simmer for 1-1.5 hours. (Note: flip chicken half way through cook time)

2. After 1.5 hours, remove your chicken. Allow chicken to cook and then shred or chop. Remove the rest of the ingredients (onion, scallion, ginger slices, etc) out of the pot. The only thing left is just the chicken broth.

3. Measure out 5 cups of chicken broth. Add it into a pot along with 1 cup of washed, uncooked rice. Bring this to a boil, reduce heat and simmer for 45-60 mins (note: stir your porridge from time to time so it does not burn and/ or stick to the bottom. And add more broth as needed)

4. After 45 mins, add diced/ shredded chicken and diced carrots. Combine well and cook for another 10 mins or until carrots are cooked. Taste test to see if you need to adjust anything. I adjusted with fish sauce and chicken bouillon. (Note: If you are not adding carrots, then cook until chicken is heated through. It should not take long)

5. Your porridge is not done. Enjoy it with your desired toppings. I like to top my bowl with: cilantro, scallion, fried shallots, bean sprouts, chili, and lime.

6. Bon AppÃ©titties",Iâ€™m giving my husband away for freeğŸ˜’ No returns or exchanges,DO NOT buy store bought fried shallotsâ€” it often tastes stale. Do this instead! Guarantee itâ€™s 10x better than store bought! I keep mine in the pantry and itâ€™s good for 6+ months. Do not cross contaminate,"I went to Laser Away to get Botox/ fillers and is happy with the results.

I was looking at candid photos my husband took of me during Motherâ€™s Day and I was happy seeing the photosğŸ™‚ before I use to say to myselfâ€¦ â€œdanggg I do not like my eye wrinklesâ€ and would beat myself up over it.

I use to wear thick, long, fake eyelashes so I never noticed the wrinkles. Now, I rock a more natural/ no eyelash look and notice the wrinkles everytime I smile with teeth. I hated it.

I got fillers because (and Iâ€™m gonna be completely honest), the treatment was free lol. I wanted to see what Iâ€™d look like with â€œfullerâ€ lips. Whatâ€™s the worst that couldâ€™ve happen? I didnâ€™t like it? Then it goes away/ dissolves in 1 year or I can dissolve them sooner. But I ended up liking them. So Iâ€™m gonna stick to my yearly touch ups =)

Disclaimer: I did not pay for any treatment. And I was not paid for any of this. This was strictly a gifting collab from Laser Away",Traditional kimchi after its been sitting out and refrigerated,"TRADITIONAL KIMCHI FT MY GRIPPERS

6 lb Napa cabbage
1/2 cup kosher salt

PASTE
2 cups eommaâ€™s secret juice*
2 TBSP glutinous rice flour
2 TBSP sugar
*you are going to use 2 cups water)

SPICES & VEGGIES
1/2 cup minced garlic (~30 cloves)
2 tsp minced ginger
1 medium onion, minced
1/2 cup fish sauce
1/4 cup salted shrimp
2 cup red pepper flakes (gochugaru)
1 cup carrots, matchsticks
2 cups radish/ daikon, matchsticks
12 stalks scallion, chopped

1. Cut Napa cabbage into 1/4 (tip: cut at the base and pull apart the leafy ends)

2. Get your nap cabbage by rinsing or dunking it water. Once wet, sprinkle kosher salt between each leaf. Make sure to leave Napa cabbage in tact.

3. Leave cabbage to rest for 2 hours. Flip every 30 minutes. Water will start to release and Napa cabbage will shrink in size.

4. After 2 hours, thoroughly rinse Napa cabbage under cold water.

While your Napa cabbage has been salting for 2 hours, prepare the rest.

5. To make the paste: in a small pot, combine 2 cups water* and 2 TBSP glutinous rice flour. Cook over medium heat for 10 minutes or until it starts to bubble. Mix well. Once bubbling, add 2 TBSP sugar and cook for another minute. Once everything is combined, remove from heat and allow to cool. (*I used mu MIL special liquid that she made but you are going to use 2 cups water).

6. Now in a large mixing bowl, combine all of your ingredients under SPICES & VEGGIES along with the PASTE you made in step 6.

7. Once youâ€™re kimchi paste is made, spread some of it between each Napa cabbage leaves.

8. Place Napa cabbage in a container. You can enjoy immediately or leave at room temp for 24 hours before refrigerating.",10,43358.0,0.036882157093252536
3,payalgamingg,2151457,592317,360312,448470,164044,244325,372872,223229,615333,305014,417815,"Boy,look at you ,looking at me
.
.
.
.
#payalgaming #bgmi #explore #explorepage #explorepageâœ¨ #newpost #halloween #mirrorselfie","Drop your order in the comments ğŸ§‹ğŸ¥
.

#payalgaming #korea #explore #explorepageâœ¨ #newpost #newpost","Throwback to unboxing phones and memories
.
.
.
#payalgaming #samsung #explore #explorepageâœ¨ #event #samsunggalaxy","So excited for the return of bgmi ğŸ’›ğŸ©·
.
#reel #payalgaming","You ğŸ‘€
.
.
.
#reel #payalgaming","3M strong on YT ğŸ©·ğŸ©·Your support means the world to me! And a big big shoutout to my mods for making it more specialğŸ¥°
.
.
.
#payal #payalgaming #youtube #explorepageâœ¨ #explore","Iâ€™m all geared up! Are you excited for the return of BGMI?
.
.
.
.
#bgmi #bgmiloversâ¤ï¸ #bgmindia #payalgaming #s8ul #s8ulpayal #explore #explorepageâœ¨ #newpost","Dekho wo aa gaya ğŸ˜œ #iykyk
.
.
.
.
#bgmi #Dynamo #dynamogaming #Payal gaming #Payal #payalgamingg #explorepageâœ¨ #explore #krafton #korea","Bhajji Sir made all the batsmen dance, and I made him dance with me. One of the most memorable days of my life!
.
.
.
.
.
#ipl #cricket #ipl2023 #harbhajansingh #payalgaming #explore #explorepageâœ¨ #newpost #starsports #incrediblecreatorsleague","Bright lights, music, festivals âœ¨
.
.
.
.#payalgaming #explorepageâœ¨ #musicfestival #trending #new #newpost",0,374373.0,0.17400905525883156
4,gyangaming,2119947,5493,13795,26557,26891,47525,77510,47764,7743,24600,49089,"@Lotus365world www.lotus365.in Register Now

To Open Your Account Msg Or Call On Below Numberâ€™s

Whatsapp -
+9194777 77302
+9193434 29343
+9193432 41313
Call On -
+91 8297930000
+91 8297320000
+91 81429 20000
+91 95058 60000

LINK IN BIO ğŸ˜

Disclaimer- These games are addictive and for Adults (18+) only. Play on your own responsibility.",â¤ï¸ #reels #instagram #viral,ğŸ”¥,GYAN GAMING ğŸ˜ğŸ”¥,Friendship is Important â¤ï¸,Youâ€™ll Forever Be My Always. â¤ï¸,Guess our next Destination?? âœˆï¸,"@Lotus365world www.lotus365.in Register Now

To Open Your Account Msg Or Call On Below Numberâ€™s

Whatsapp -
+9194777 77302
+9193434 29343
+9193432 41313
Call On -
+91 8297930000
+91 8297320000
+91 81429 20000
+91 95058 60000

LINK IN BIO ğŸ˜

Disclaimer- These games are addictive and for Adults (18+) only. Play on your own responsibility.",ğŸ‡¸ğŸ‡¬ #picoftheday #trending #travel #photography #cartoon #photo #singapore,Summer Vibes ğŸ”¥ #viral #trending #reels #instagram #instagramreels #lovesongs #romantic,10,32697.0,0.015423498795017046
